SOURCE_URL,PAGE,KEYWORD,PRODUCT_LINK,PRODUCT_NAME,PRICE,PRODUCT_RATING,NUMBER_OF_RATINGS
https://www.amazon.com/s?k=bath+tubs&page=1,1,bath tubs,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A08130212CZEAQ0C8T8LY&url=%2FSHAMANDA-Waterfall-Mounted-Bathroom-Including%2Fdp%2FB08G4PZR1L%2Fref%3Dsr_1_15_sspa%3Fkeywords%3Dbath%2Btubs%26qid%3D1652682806%26sr%3D8-15-spons%26psc%3D1&qualifier=1652682806&id=2927488278322506&widgetName=sp_mtf,"SHAMANDA Waterfall Wall Mounted Bathtub Faucet with Hand Shower, Bathroom Single Handle Tub Faucet Modern Brass Tub Shower Faucet Set(Including Rough-In Valve Body and Trim), Brushed Nickel, L901-2",$218.99,4.4,78
https://www.amazon.com/s?k=bath+tubs&page=1,1,bath tubs,https://www.amazon.com/KOHLER-20201-RA-0-Underscore-Bathtub-White/dp/B0794BPX8J/ref=sr_1_16?keywords=bath+tubs&qid=1652682806&sr=8-16,"KOHLER K-20201-RA Underscore Rectangle 60-Inch x 30-Inch Alcove Bath with Integral apron, integral flange and right hand drain, White",,3.9,19
https://www.amazon.com/s?k=bath+tubs&page=1,1,bath tubs,https://www.amazon.com/Portable-Foldable-Freestanding-Eco-friendly-Bathroom/dp/B09BMS276V/ref=sr_1_17?keywords=bath+tubs&qid=1652682806&sr=8-17,"Portable Bathtub Foldable,Soaking Bath Tub with Freestanding Shower Stall,Eco-friendly Adult Bathroom Foldable Tub for Small Space Hot Bath Ice Bath Spa Tub (29.5'' x 29.5'',Dark Blue)",$65.88,4.5,10
https://www.amazon.com/s?k=bath+tubs&page=1,1,bath tubs,https://www.amazon.com/DAILYLIFE-Portable-Japanese-Foldable-Freestanding/dp/B092DBDMZB/ref=sr_1_18?keywords=bath+tubs&qid=1652682806&sr=8-18,"DAILYLIFE Portable Bathtub, Japanese Soaking Bath Tub for Shower Stall, Foldable Bathtub with Thermal Foam, Freestanding, Folding & Soaking Spa Bath Tub with Pillow for Small Space(Starry Night Blue)…",$44.99,3.7,427
https://www.amazon.com/s?k=bath+tubs&page=1,1,bath tubs,https://www.amazon.com/Happy-Life-Portable-Plastic-Bathtub/dp/B008XSXQIO/ref=sr_1_19?keywords=bath+tubs&qid=1652682806&sr=8-19,"G Ganen Unisex Portable Foldable 3 Layer PVC SPA Bathtub Freestanding Ice Bathtub, 29.5 Inch Blue",$65.00,4.4,"1,369"
https://www.amazon.com/s?k=bath+tubs&page=1,1,bath tubs,https://www.amazon.com/Empava-Made-USA-Freestanding-Contemporary/dp/B07Y3CX878/ref=sr_1_20?keywords=bath+tubs&qid=1652682806&sr=8-20,"Empava Luxury 67 Inch Acrylic Freestanding Bathtub Contemporary Soaking Tub with Brushed Nickel Overflow and Drain, FT518, Glossy White",,4.4,71
https://www.amazon.com/s?k=bath+tubs&page=1,1,bath tubs,https://www.amazon.com/KELIXU-Portable-Thickening-Temperature-Freestanding/dp/B08FQQ6Y2S/ref=sr_1_21?keywords=bath+tubs&qid=1652682806&sr=8-21,"KELIXU Portable Bathtub Foldable Soaking Bath Tub Thickening to Keep Temperature, Freestanding Bathtub for Adults, Home Bathroom Spa Hot Ice Bath Easy to Install, 43""x 25""x 20"", Black",$78.99,3.6,194
https://www.amazon.com/s?k=bath+tubs&page=1,1,bath tubs,https://www.amazon.com/KOHLER-20202-LA-0-Underscore-Bathtub-White/dp/B0764NT8B8/ref=sr_1_22?keywords=bath+tubs&qid=1652682806&sr=8-22,"KOHLER K-20202-LA Underscore Rectangle 60-Inch x 32-Inch Alcove Bath with Integral apron, integral flange and left hand drain, White",,4.2,25
https://www.amazon.com/s?k=bath+tubs&page=1,1,bath tubs,https://www.amazon.com/MURO-Portable-Foldable-Freestanding-Insulation/dp/B086VSVZQ5/ref=sr_1_23?keywords=bath+tubs&qid=1652682806&sr=8-23,"MURO Portable Bathtub for Adults, Foldable Freestanding Spa Bathtub for Soaking in Shower Stall, 3 Layer for Insulation, Black, Includes Bonus Cushion",$79.99,3.5,91
https://www.amazon.com/s?k=bath+tubs&page=1,1,bath tubs,https://www.amazon.com/Fine-Fixtures-Bathtub-Apron-Right/dp/B083P5Q6K5/ref=sr_1_24?keywords=bath+tubs&qid=1652682806&sr=8-24,"Fine Fixtures Acrylic/Fiberglass Soaking Bathtub, Exclusive Size 66"" x 32"", Alcove/Apron Front (Right Hand)",,4.1,44
https://www.amazon.com/s?k=bath+tubs&page=1,1,bath tubs,https://www.amazon.com/Portable-Freestanding-Foldable-Standing-Dormitory/dp/B09G6JJVR5/ref=sr_1_25?keywords=bath+tubs&qid=1652682806&sr=8-25,Portable Freestanding Bathtub for Adults- 31” Foldable Bathtub Soaking Standing Bath Tub for Shower Stall Massage Folding SPA Tub for Family Bathroom Dormitory Small Spaces Hot Bath Ice Bath (Green-1),$39.99,3.8,23
https://www.amazon.com/s?k=bath+tubs&page=1,1,bath tubs,https://www.amazon.com/WOODBRIDGE-Freestanding-Contemporary-Overflow-BTA1516-C/dp/B07X41VS2G/ref=sr_1_26?keywords=bath+tubs&qid=1652682806&sr=8-26,"WOODBRIDGE 59"" Acrylic Freestanding Bathtub Contemporary Soaking Tub with Chrome Overflow and Drain, B0016-C, White",,5.0,12
https://www.amazon.com/s?k=bath+tubs&page=1,1,bath tubs,https://www.amazon.com/Portable-Inflatable-Free-Standing-Electric-High-Density/dp/B092X2S1SB/ref=sr_1_27?keywords=bath+tubs&qid=1652682806&sr=8-27,"Home and Mix Portable Adult Bath Tub, Inflatable Free-Standing Blow Up Tub with Electric Air Pump, High-Density PVC BathTub for Small Places or Indoor & Outdoor Usage - Ideal for Adults, Kids",$61.95,3.4,17
https://www.amazon.com/s?k=bath+tubs&page=1,1,bath tubs,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A0285866356CN8FHAEB7&url=%2FQinkell-Bathtub-Faucets-Filler-Handles%2Fdp%2FB09P3N8HR5%2Fref%3Dsr_1_28_sspa%3Fkeywords%3Dbath%2Btubs%26qid%3D1652682806%26sr%3D8-28-spons%26psc%3D1&qualifier=1652682806&id=2927488278322506&widgetName=sp_mtf,Qinkell Wall Mount Bathtub Faucets High Flow Tub Filler Chrome Roman Tub Faucet with 2 Handles,$179.99,4.5,3
https://www.amazon.com/s?k=bath+tubs&page=1,1,bath tubs,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A01053302CPF3UUZ66X8T&url=%2FGlorias-Bathtub-Pressured-Valve10In-Waterfall%2Fdp%2FB09CD55GWN%2Fref%3Dsr_1_29_sspa%3Fkeywords%3Dbath%2Btubs%26qid%3D1652682806%26sr%3D8-29-spons%26psc%3D1&qualifier=1652682806&id=2927488278322506&widgetName=sp_mtf,"Glorias Bathtub Shower System with Tub Faucet set Shower Fixture with Pressured Balance Valve10In Rain Shower Head Waterfall Tub Spout, Brushed Gold, 10In Rain Shower Head",$190.80,4.4,32
