SOURCE_URL,PAGE,KEYWORD,PRODUCT_LINK,PRODUCT_NAME,PRICE,PRODUCT_RATING,NUMBER_OF_RATINGS
https://www.amazon.com/s?k=adidas&page=1,1,adidas,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo0NzYxOTY3MDA3NzQ1ODc2OjE2NTI2ODI3NzY6c3BfYXRmOjIwMDA1NDA2MTE1NzE5ODo6MDo6&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&url=%2FWonesion-Breathable-Walking-Sneakers-Non-Slip%2Fdp%2FB07STV4NG1%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dadidas%26qid%3D1652682776%26sr%3D8-1-spons%26psc%3D1,WONESION Mens Breathable Walking Tennis Running Shoes Blade Slip on Casual Fashion Sneakers,$48.99,4.2,"16,096"
https://www.amazon.com/s?k=adidas&page=1,1,adidas,https://www.amazon.com/adidas-Track-Pants-Black-Medium/dp/B087D8BBG2/ref=sr_1_2?keywords=adidas&qid=1652682776&sr=8-2,adidas Men's Tiro 21 Track Pants,$39.43,4.7,"6,197"
https://www.amazon.com/s?k=adidas&page=1,1,adidas,https://www.amazon.com/adidas-Essential-Tricot-Pants-X-Large/dp/B0772NQ3SR/ref=sr_1_3?keywords=adidas&qid=1652682776&sr=8-3,adidas Men's Essential Tricot Zip Pants,$30.00,4.4,211
https://www.amazon.com/s?k=adidas&page=1,1,adidas,https://www.amazon.com/adidas-Womens-Grand-Court-Black/dp/B07DBHRNXB/ref=sr_1_4?keywords=adidas&qid=1652682776&sr=8-4,adidas Women's Grand Court Sneaker,$43.75,4.7,"38,014"
https://www.amazon.com/s?k=adidas&page=1,1,adidas,https://www.amazon.com/adidas-Performance-Womens-Cloudfoam-Running/dp/B0716XFVDQ/ref=sr_1_5?keywords=adidas&qid=1652682776&sr=8-5,adidas Women's Cloudfoam Pure Running Shoe,$48.54,4.6,"71,168"
https://www.amazon.com/s?k=adidas&page=1,1,adidas,https://www.amazon.com/adidas-Racer-Running-Black-Orange/dp/B091M82Y7K/ref=sr_1_6?keywords=adidas&qid=1652682776&sr=8-6,adidas Men's Racer TR21 Running Shoe,$56.14,4.6,"1,408"
https://www.amazon.com/s?k=adidas&page=1,1,adidas,https://www.amazon.com/adidas-Adilette-Shower-Slide-Sandal/dp/B0716XDK7N/ref=sr_1_7?keywords=adidas&qid=1652682776&sr=8-7,adidas Men's Adilette Shower Slide,,4.5,"120,361"
https://www.amazon.com/s?k=adidas&page=1,1,adidas,https://www.amazon.com/adidas-Mens-Kaptir-Black-Carbon/dp/B08CYF84W8/ref=sr_1_8?keywords=adidas&qid=1652682776&sr=8-8,adidas Men's Kaptir 2.0 Running Shoe,$57.70,4.6,"2,371"
https://www.amazon.com/s?k=adidas&page=1,1,adidas,https://www.amazon.com/adidas-Cushioned-Athletic-6-Pack-Aluminum/dp/B008YA0ZN0/ref=sr_1_9?keywords=adidas&qid=1652682776&sr=8-9,adidas mens Athletic Cushioned No Show Socks (6-pair),$15.00,4.7,"7,599"
https://www.amazon.com/s?k=adidas&page=1,1,adidas,https://www.amazon.com/adidas-Grand-Court-Black-White/dp/B07DBL9TM7/ref=sr_1_10?keywords=adidas&qid=1652682776&sr=8-10,adidas Men's Grand Court Tennis Shoes,$48.74,4.7,"24,710"
https://www.amazon.com/s?k=adidas&page=1,1,adidas,https://www.amazon.com/adidas-Supernova-Running-Black-White/dp/B091MX58J4/ref=sr_1_11?keywords=adidas&qid=1652682776&sr=8-11,adidas Men's Supernova + Running Shoe,$70.33,4.2,178
https://www.amazon.com/s?k=adidas&page=1,1,adidas,https://www.amazon.com/adidas-Designed-3-Stripes-Shorts-Medium/dp/B08HJPXGQD/ref=sr_1_12?keywords=adidas&qid=1652682776&sr=8-12,adidas Men's Designed 2 Move 3-Stripes Primeblue Shorts,$22.50,4.5,"1,776"
https://www.amazon.com/s?k=adidas&page=1,1,adidas,https://www.amazon.com/adidas-Ultraboost-Running-Shoes-White/dp/B08B6G65T7/ref=sr_1_13?keywords=adidas&qid=1652682776&sr=8-13,adidas Men's Ultraboost 21 Running Shoe,$119.95,4.6,"4,678"
https://www.amazon.com/s?k=adidas&page=1,1,adidas,https://www.amazon.com/adidas-Mens-Athletic-Black-Aluminum/dp/B008YA0Z44/ref=sr_1_14?keywords=adidas&qid=1652682776&sr=8-14,adidas mens Athletic Cushioned Crew Socks (6-pair),,4.7,"22,374"
https://www.amazon.com/s?k=adidas&page=1,1,adidas,https://www.amazon.com/adidas-womens-3-Stripes-Leggings-Black/dp/B08778F8LQ/ref=sr_1_15?keywords=adidas&qid=1652682776&sr=8-15,adidas Women's LOUNGEWEAR Essentials 3-Stripes Leggings,,4.5,"1,604"
https://www.amazon.com/s?k=adidas&page=1,1,adidas,https://www.amazon.com/adidas-Terrex-Hiker-Primeblue-Silver/dp/B08RJZGJMW/ref=sr_1_16?keywords=adidas&qid=1652682776&sr=8-16,adidas Men's Track Trail Running Shoe,$111.39,4.5,236
https://www.amazon.com/s?k=adidas&page=1,1,adidas,https://www.amazon.com/adidas-Cushioned-Athletic-Aluminum-regular/dp/B007GJQHTQ/ref=sr_1_17?keywords=adidas&qid=1652682776&sr=8-17,adidas Athletic 6-Pack Low Cut Socks,$14.95,4.7,"9,699"
